Checkbox,Task ID,Summary,Original Summary,Epic,Epic Name,Owner,Issue Type,Priority,Labels,Sprint,Sprint Date,Deadline,Time Estimate (days),Description
FALSE,AIO-S1-006,Tạo config.py và .env.example,"Tập trung model name, path, chunk size, k, Notion env vào config.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"config,env,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.25,"Acceptance: LLM_MODEL, EMBED_MODEL, CHROMA_PATH, DEFAULT_K, CHUNK_SIZE, CHUNK_OVERLAP, NOTION_TOKEN placeholder."
FALSE,AIO-S1-007,Tách prompt ra prompts.py,Di chuyển RAG_PROMPT và rules trả lời tiếng Việt vào một file riêng.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"prompt,rag,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.15,"Acceptance: prompt yêu cầu chỉ dùng context, không bịa, trả lời tiếng Việt, ưu tiên source."
FALSE,AIO-S1-008,Tách chunk_text ra chunker.py,"Di chuyển chunk_text khỏi app.py, giữ logic baseline để tránh vỡ project.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"chunking,refactor,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,"Acceptance: chunk_text(text,size,overlap) import được và chạy với sample text."
FALSE,AIO-S1-009,Tách embedding wrapper ra embeddings.py,Tạo wrapper gọi ollama.embed thay vì gọi trực tiếp rải rác trong app.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"embedding,ollama,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,Acceptance: embed_texts(list[str]) trả về list vector; input rỗng trả về [].
FALSE,AIO-S1-010,Tạo smoke test cho baseline và upgrade skeleton,"Viết script hoặc test nhỏ đọc sample text, chunk, embed thử 1 chunk, không cần UI.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Test,P0,"smoke-test,qa,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.25,"Tạo smoke test tối thiểu: baseline chạy app hoặc import được theo hướng dẫn; upgrade import được config, chunker, embeddings, vector_store, retriever, rag_chain. Acceptance: có command test rõ ràng trong README hoặc docs."
FALSE,AIO-S1-011,Viết Codex prompt chuẩn theo Task ID và folder scope,"Tạo template prompt: context, file cần sửa, acceptance criteria, không sửa ngoài phạm vi.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Docs,P1,"codex,process,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.15,"Viết docs/CODEX_WORKFLOW.md gồm prompt mở đầu, prompt xác nhận hiểu backlog, prompt thực thi task theo Task ID, quy tắc folder scope baseline/ vs upgrade/, quy tắc review sau mỗi task và checklist commit."
FALSE,AIO-S1-012,Copy/đóng băng baseline native app,"Đưa bản code native gốc vào baseline/ và quy định baseline chỉ dùng để so sánh/demo, không phát triển feature mới trong đó.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"baseline,architecture,repo,guardrail","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,Tạo baseline/README.md và đặt code native gốc trong baseline/. Acceptance: có command chạy baseline; có ghi chú baseline là read-only/reference version; không trộn code upgrade vào baseline.
FALSE,AIO-S1-013,Khởi tạo upgrade từ baseline với cấu trúc module hóa,Tạo upgrade/ là bản cải tiến được build từ baseline nhưng tách module rõ ràng để phát triển incremental.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Task,P0,"upgrade,architecture,repo,scaffold","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.3,"Tạo upgrade/app.py, upgrade/src/, upgrade/tests/ và upgrade/README.md. Skeleton phải map được từ baseline flow: PDF load, chunking, embedding, vector store, retrieval, generation, UI. Acceptance: python imports pass; chưa cần full feature."
FALSE,AIO-S1-014,Viết docs/PROJECT_STRUCTURE.md,"Giải thích vì sao project có baseline và upgrade, cách chạy từng bản và khi nào sửa mỗi khu vực.",EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Docs,P0,"docs,baseline,upgrade,architecture","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-20,2026-06-21,0.2,"Nội dung cần có: folder tree, purpose của baseline/, purpose của upgrade/, rule không sửa baseline, mapping baseline feature sang upgrade module, command chạy từng bản. Acceptance: người mới đọc hiểu ngay project organization."
FALSE,AIO-S1-015,Tạo comparison checklist baseline vs upgrade,Tạo checklist so sánh để chứng minh upgrade cải thiện gì so với baseline khi demo/nộp bài.,EPIC-01,"Architecture, Baseline & Upgrade Separation",Thành / Codex,Docs,P1,"docs,demo,baseline,upgrade,comparison","Sprint 1 - Architecture, Baseline & Upgrade",2026-06-21,2026-06-21,0.2,"Tạo docs/baseline_vs_upgrade_checklist.md gồm các tiêu chí: persistent DB, metadata/source, citation, error handling, memory, Notion sync, evaluation. Acceptance: dùng được trong demo script Sprint 5."
FALSE,AIO-S2-001,Nâng pdf_loader lưu metadata trang,Đọc PDF theo từng page thay vì ghép một chuỗi lớn để giữ page_number/source_file.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Story,P0,"pdf,metadata,ingestion,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.35,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: load_pdf_pages(file)->list document có content, source_file, page_number; xử lý page.extract_text None."
FALSE,AIO-S2-002,Chunk theo document/page metadata,Chunk từng page/document và giữ metadata đi kèm mỗi chunk.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"chunking,metadata,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.35,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: mỗi chunk có content, chunk_id, source_file, page_number hoặc page_range."
FALSE,AIO-S2-003,Đổi ChromaDB sang PersistentClient,Thay chromadb.Client bằng chromadb.PersistentClient(path=CHROMA_PATH).,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"chromadb,persistence,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.3,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: restart app không mất collection đã index.
FALSE,AIO-S2-004,Thiết kế document_id/file_hash,Tính hash file để nhận diện tài liệu trùng và collection ổn định.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P1,"cache,hash,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.3,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: cùng một file sinh cùng document_id; không tạo collection timestamp trùng lặp.
FALSE,AIO-S2-005,Viết vector_store.add_chunks với metadata,"Lưu documents, embeddings và metadatas vào ChromaDB.",EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"vector-store,metadata,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: collection.get trả về metadatas đầy đủ; ids dạng doc_hash_chunk_index.
FALSE,AIO-S2-006,Viết delete_chunks_by_document_id,Cho phép xóa/reindex chunk cũ theo document_id hoặc notion_page_id.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"vector-store,reindex,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: gọi delete không làm hỏng collection khác; dùng được cho Notion sync sau này.
FALSE,AIO-S2-007,Retriever trả về text + metadata + distance,Sửa retrieve để trả về structured results thay vì chỉ documents.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"retrieval,debug,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.3,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: output gồm content, metadata, distance; UI có thể hiển thị source."
FALSE,AIO-S2-008,Hiển thị Source/Citation trong UI,"Sau mỗi câu trả lời, hiển thị Nguồn tham khảo: file, trang, chunk preview.",EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Story,P0,"citation,ui,trust,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: mỗi answer có nguồn nếu retrieve thành công; có expand xem chunk.
FALSE,AIO-S2-009,Thêm error handling Ollama/model,Bắt lỗi Ollama chưa chạy hoặc model chưa pull.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"error-handling,ollama,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: UI hiện hướng dẫn chạy ollama serve/pull model; không lộ stack trace.
FALSE,AIO-S2-010,Thêm error handling PDF rỗng/lỗi,"Bắt lỗi PDF không extract được text, file rỗng, file không phải PDF.",EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P0,"error-handling,pdf,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: app báo lỗi thân thiện và không index collection rỗng.
FALSE,AIO-S2-011,Thêm nút Reset current document,Cho người dùng reset document/vector database hiện tại rõ ràng.,EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Task,P1,"ui,document-management,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.2,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: nút reset xóa session state/current collection và báo thành công.
FALSE,AIO-S2-012,Test restart app và giữ vector DB,"Kiểm thử thủ công/automation: index file, restart, query lại.",EPIC-02,"Core RAG Reliability, Metadata & Citation",Thành / Codex,Test,P0,"qa,persistence,upgrade",Sprint 2 - Reliable RAG Core,2026-06-22,2026-06-23,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: checklist ghi pass/fail; không cần embed lại nếu collection tồn tại.
FALSE,AIO-S3-001,Map schema Notion AIO database,Định nghĩa mapping từ Notion properties hiện có sang metadata RAG.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Story,P0,"notion,schema,metadata,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.25,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: map các cột: title, week, date, module, lecturer, label, checkbox/tổng hợp, notion_url/page_id."
FALSE,AIO-S3-002,Tạo notion_loader.py skeleton,"Tạo loader cho Notion export/API, chưa cần full sync.",EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion,loader,architecture,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.2,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: src/loaders/notion_loader.py có docstring, output chuẩn list[dict] document."
FALSE,AIO-S3-003,MVP import Notion CSV export,Cho phép import CSV export từ Notion database làm fallback nếu API lỗi.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion,csv,fallback,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: load_notion_database_export(csv_path) đọc được row và convert thành documents metadata.
FALSE,AIO-S3-004,Tạo Notion API config,"Thêm NOTION_TOKEN và NOTION_DATABASE_ID qua .env, không hard-code.",EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion-api,env,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.2,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: thiếu env thì báo lỗi rõ; .env.example có field cần thiết.
FALSE,AIO-S3-005,Query Notion database pages,Gọi Notion API để lấy danh sách page trong database.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion-api,ingestion,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.45,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: lấy được page_id, url, last_edited_time, properties cơ bản; handle pagination."
FALSE,AIO-S3-006,Parse Notion properties,"Extract các property: title/name, week, date, module, lecturer, label, checkbox/completed.",EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion-api,metadata,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: parse không crash nếu property rỗng; field thiếu trả None/empty string.
FALSE,AIO-S3-007,Extract Notion page blocks,Lấy nội dung blocks của mỗi page làm content cho RAG.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion-api,blocks,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.45,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: hỗ trợ paragraph, headings, bullet, numbered list, code, quote tối thiểu."
FALSE,AIO-S3-008,Convert Notion page thành document,Gộp title + metadata + block content thành document chuẩn.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion,documents,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: document content có title và nội dung page; metadata có source='notion'.
FALSE,AIO-S3-009,Tạo sync_state.json,Lưu last_edited_time đã sync để phát hiện page mới/sửa.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"notion-sync,state,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.3,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: file sync_state.json được tạo/cập nhật; format dễ đọc.
FALSE,AIO-S3-010,Implement incremental sync,Chỉ index page mới hoặc page có last_edited_time thay đổi.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Story,P0,"notion-sync,incremental,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.55,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: page không đổi bị skip; page sửa thì xóa chunk cũ và index lại.
FALSE,AIO-S3-011,Upsert Notion chunks vào ChromaDB,Lưu chunk Notion với ids notion_<page_id>_chunk_<i>.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"chromadb,notion-sync,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.35,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: metadata có notion_page_id, title, week, module, date, lecturer, label, last_edited_time."
FALSE,AIO-S3-012,Thêm nút Đồng bộ Notion trong Streamlit,UI có button sync Notion và hiển thị số page mới/sửa/bỏ qua.,EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"streamlit,notion-sync,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: bấm sync không crash; có spinner/progress và summary kết quả.
FALSE,AIO-S3-013,Hiển thị nguồn Notion trong answer,"Nguồn answer có title bài học, week, module, lecturer, Notion URL nếu có.",EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Task,P0,"citation,notion,ui,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.25,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: source PDF và Notion hiển thị khác nhau, dễ đối chiếu."
FALSE,AIO-S3-014,Test query thực tế theo AIO database,"Kiểm thử câu hỏi: tuần 1 học gì, bài nào Data Understanding, bài chưa tổng hợp.",EPIC-03,Notion Data Source & Incremental Sync,Thành / Codex,Test,P0,"qa,notion,aio2026,upgrade",Sprint 3 - AIO Notion Assistant,2026-06-24,2026-06-25,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: ít nhất 5 câu hỏi test có expected behavior và pass mức demo.
FALSE,AIO-S4-001,Thiết kế chat memory strategy,Chọn memory ngắn hoặc condense question để hỗ trợ follow-up.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Story,P0,"memory,chat,rag,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: ghi rõ sẽ truyền N message gần nhất hoặc dùng condense question.
FALSE,AIO-S4-002,Truyền chat history ngắn vào LLM,Sửa rag_chain để ollama.chat nhận messages có vài lượt gần nhất.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P0,"memory,ollama,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: giới hạn lịch sử để không vượt context; không làm mất RAG context.
FALSE,AIO-S4-003,Implement condense follow-up question,Viết hàm rewrite câu hỏi follow-up dựa trên lịch sử trước retrieval.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"memory,question-rewrite,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.45,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: câu 'phần đó thì sao?' được rewrite thành câu đầy đủ trước retrieve.
FALSE,AIO-S4-004,Sidebar chỉnh tham số RAG,"Thêm UI chỉnh k, chunk_size, chunk_overlap, LLM model nếu cần.",EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P0,"ui,config,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.3,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: tham số được đọc từ session/config; không phải sửa code để đổi k/model.
FALSE,AIO-S4-005,Hiển thị trạng thái model/Ollama,"UI báo Ollama reachable, model LLM/embedding đang dùng.",EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"ui,observability,ollama,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: người demo biết lỗi do Ollama chưa chạy hay do code.
FALSE,AIO-S4-006,Batch embedding theo nhóm chunk,Tránh gọi embedding toàn bộ chunk trong một request quá lớn.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"performance,embedding,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: batch_size configurable; progress hiện trong UI/log.
FALSE,AIO-S4-007,Thêm progress bar khi index,"Hiển thị tiến độ đọc, chunk, embedding, add vector.",EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"ui,performance,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.3,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: file dài không làm người dùng tưởng app treo.
FALSE,AIO-S4-008,Debug mode cho retrieval,"Có tùy chọn hiện top-k chunk, distance, metadata.",EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"debug,retrieval,ui,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.3,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: bật debug mới hiển thị; mặc định UI gọn.
FALSE,AIO-S4-009,Score threshold hoặc no-context guard,Thêm cảnh báo nếu distance/similarity cho thấy context yếu.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"retrieval,guardrail,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.35,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: câu ngoài tài liệu ưu tiên trả 'không tìm thấy thông tin'.
FALSE,AIO-S4-010,Polish chat UI,"Chuẩn hóa chat bubbles, source expander, clear chat, current datasource indicator.",EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"ui,ux,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.35,"Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: demo dễ nhìn; user biết đang chat với PDF, Notion hay cả hai."
FALSE,AIO-S4-011,Thêm sample prompts trong UI,Gợi ý câu hỏi mẫu cho PDF và Notion AIO.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Task,P1,"ui,demo,ux,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.2,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: sidebar/expander có 5-8 câu hỏi mẫu dùng để demo nhanh.
FALSE,AIO-S4-012,Regression test follow-up conversation,Test 3 câu hội thoại liên tiếp để chắc memory hoạt động.,EPIC-04,"Conversational UX, Config & Performance",Thành / Codex,Test,P0,"qa,memory,upgrade",Sprint 4 - Chat UX & Performance,2026-06-26,2026-06-27,0.25,Scope: upgrade/ only. Baseline/ phải giữ nguyên để so sánh. Acceptance: follow-up đơn giản pass; không hallucinate khi context không có.
FALSE,AIO-S5-001,Tạo golden question set,"Tạo bộ câu hỏi evaluation cho PDF, Notion, ngoài tài liệu, follow-up.",EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Story,P0,"evaluation,qa,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.35,"Acceptance: file eval_questions.csv/json có question, datasource, expected behavior, priority."
